id,title,characters,setting,plot,problem,ending
1,Is This My Home?,"Little Girl
Mouse
Cat Nat
Tree
Pigeon
Sheep
Mosquito
Snow
 Leopard
Chameleon
 Whale","little girls bedroom then around her 
house, her town,
 and different places in the world 
garden, countryside, rainforest, mountain, desert, ocean","One night, a little girl wakes up and sees a mouse making a tiny home in her wall.Hey, this is my home! she says.
The mouse replies, Your home is much bigger than this room.Then little girl travels to many places. 
She asks everyone she sees. All the animals says the same thing, "" Her home is bigger"". 
The girls is discouraged and she's already tired trying to find her real home.","The little girl walks all the way back home, feeling sad.I went everywhere, she says, but I still didn't find my home.","The mouse tells her,your home is not just your room, your house, or your town.
Your home is the whole world. 
And we must be kind to it.The girl smiles, turns off her lamp, and thinks of all the animals she met.
She now knows she must love and take care of the world because it is everyone's home."
2,Goya Wants to Go Home,"Goya- a water monitor lizard
Children at the school","A flooded river, a dark tunnel, and a school full of children.","One rainy morning, the river rises fast. Goya, a water monitor lizard, gets swept away by the rushing water.
He claws at the ground and crawls into a dark tunnel to stay safe.
It is dirty and noisy. Goya is scared and wants to go home.","Goya sees a light and follows it. He smells yummy food just like home! But instead of home,
 he finds himself inside a school full of children.
The children scream,A crocodile!. The children are scared to him.","When he looks into the water, he sees his reflection. 
Now he understands,The children thought I was a crocodile but I'm just a water monitor lizard and I'm scared of crocodiles too!."
3,Hermy's New Home,"Hermy a hermit crab
Benny  another hermit crab
Three friendly hermit crabs","The beach, the ocean, and the coral reef.","Hermy wiggles in his shell. It's too small! he says. 
So he looks for a new home. Too small, too big, too weak, until perfect!
Hermy moves into his shiny new shell. Three hermit crabs line up and happily switch into new shells too.","But sneaky Benny grabs Hermy's old shell and runs. 
Hey! That's mine! Hermy shouts as he chases him.
 A big wave splashes them into the deep ocean.
Hermy has no shell and feels scared.","But Benny asked for Hermy's forgiveness.
Benny says, Im sorry. Hermy smiles. 
You can keep that shell. I found another one.Hermy puts on his new shiny home and feels brave again. 
Together, they find their way back to the beach."
4,The Journey Home,"Greena, a sea turtle
Dolphin,  friendly guides
Jellyfish, Tuna, Clownfish, Seahorses, Manta Ray",The ocean and the beach,"Greena the sea turtle begins her long swim back to the beach where she will lay her eggs.
Swim with us! the dolphins call.
Greena smiles but says,l go alone today.
Greena keeps getting distracted first by jellyfish, then by fast tuna, then by tiny seahorses, and even a manta ray.
Each time she follows them, she swims the wrong way.",Greena realizes she is far from the island she needs to reach.,"The dolphins find her again.Greena! Swim with us! they say.
 Then she swim with them.Soon she sees the sandy shore. Greena smiles.
 She is finally back at the beach where she hatched right where she needs to be."
5,Finding a Home,Poki a small cat,"An alley with boxes, trash cans, and a nearby house attic.","Meow! Meow! Poki is looking for a place to sleep.
He tries a cardboard box, but another cat says, No room here! He tries a 
trash bin, but a cat there says, Sorry, it's full!
Poki walks away feeling cold and alone.","The wind blows hard and heavy rain begins to fall.
Poki finally finds a small attic in a nearby house and he goes inside.
Suddenly FLASH! CLAP! Lightning strikes, and a  fire starts in the alley!","The cats hugged together, soon the warm snuggles make Poki feel safe and cozy.
Poki  smiles, closes his eyes, and finally falls fast asleep."
6,Where Did My Home Go?,"Witty Turtle, Armadillo, Snail,Oyster, Alligator","A riverbank, the sand, and the water","One morning by the river, Witty Turtle was doing her stretches under her favorite coconut tree.
 Suddenly, THUMP! A coconut fell and knocked Witty right out of her shell!.
She felt cold and worried, so she decided to look for it.","Witty lost her shell so she looked for her missing shell by the river.
She tapped a round shell, Armadillo lived there.
She tapped a tiny shell,Snail lived there.
She found a hard shell underwater,Oyster lived there.
 Witty kept searching until she saw a big alligator!
Scared, she hid behind a rock. Without her shell, she wasn't safe.","Witty returned to her coconut tree, feeling sad. 
Then BOOM!.Something fell right onto her head.It was her missing shell. 
Witty cheered, This is myhome!
She goes back into  her shell and felt warm and protected again."
7,A House for Mouse,"Mouse,Puppy, Parrot, Fish",Around the yard and inside a cozy house,"Mouse was looking for a new house. This looks like a nice house.
 You can come and sleep with me, said Puppy. 
Thank you,said Mouse.","That night, Mouse's dreams were cold and wet. Mouse needed somewhere warm and dry.","Mouse saw a dog along the yard. The dog is living alone. So the Mouse came near the dog. 
""Can I live with you?"" Mouse asked.
""Sure, we can live together and be friends"" Dog replied. 
Now, the mouse is safe and sound."
8,Miss Goat's House,"Miss Goat,Villagers","A hot field, jungle, and a village","One very hot morning, Miss Goat was eating grass in the field. It's too hot! she thought.
She looked for shade to keep cool.
Miss Goat tried to find a  cool place to hide from the hot sun.","She tried the lotus leaf but soonit dried up. Then she went to the wide banana leaf, hoping it would 
give shade. But the sun was so strong that the banana leaf fell.","Miss Goat saw villagers building a strong house.
 She decided to make one too. She collected branches and banana leaves, dug holes, and tied everything tightly. 
Soon, her little house was ready.The hot wind blew again, but her house stayed strong. 
Miss Goat sat inside, cool and happy. At last, she could rest  and take a nap.
"
9,How the Tortoise Built Her House,"Tortoise, rabbit, birds, cow","Riverbank, forest, tree, cow pen","Once upon a time, a tortoise had no shell. She felt cold, hot, and 
wet because she had no home to protect her. She wanted a safe place
 to stay.","The tortoise tried to build a house with tree branches, but she was too slow. 
She looked for a cave, but it belonged to a rabbit. 
She climbed a tree, but the birds chased her away. 
She asked a cow for shelter, but the pen was full. 
She was sad and had nowhere to rest.","One day, gum from a tree stuck to her back. She added pieces of bark on top, pressing themin place. 
The bark stayed even in sun, rain, and water. At last, the tortoise had a strong, safe shell. 
She could play, swim, and walk anywhere, carrying her home on her back proudly."
10,The Way to Grandpa's House,"Dary, her father, Grandpa, a puppy","Neighborhood street, Grandpa's house","Dary wants to walk to her Grandpa's house to hear a story. She asks her father, Am I brave enoughYes! I am ready,
she replies and wave goodbye happily.","While walking, a dog barks loudly from behind a wall. Dary's heart beats fast. Is it going to jump at me? she
 wonders and runs back.","Suddenly, the dog jumps outn but it's just a puppy! The puppy wags its tail.
I sure feel silly for being so afraid! Dary laughs.
She plays with the puppy and then runs to Grandpa's house.
At last, she arrives and proudly tells Grandpa a story herself."
